"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"301",5064,-3667530.4452,-1042230.1365,0,0,1,3,3,NA,"BRA","Land",NA,NA,NA,520.617480448108,TRUE,"0.754",0.051812975,4,24.6019743160705,5.18385962604016,0,0,15.035990481856,2025,608.429208804283,593.436198691255,132.581945270672,57409.2718619869
"302",5065,-3667530.4452,-842230.1365,0.0101047632496986,0.0021505376344086,17,4.47058823529412,4,3.06426269799979,"BRA","Land",NA,NA,NA,307.465060240964,TRUE,"0.754",0.051812975,4,24.8754676123681,4.89624915974143,0,0,14.7883657399968,1413,664.461192350956,649.618511971718,159.668809255986,2056.2881246987
"303",5066,-3667530.4452,-642230.1365,0.00580685631594104,0.0014336917562724,7,4.57142857142857,5,2.50713268211203,"BRA","Land",1.20769230746306,0.70375384837389,2.2655230811009,85.9995325216209,TRUE,"0.754",0.051812975,4,25.0930694168545,4.82135040961397,0,0,7.65971316818774,1517,420.018066679084,412.299869621903,76.8638480163904,4044.32650400447
"304",5137,-3467530.4452,-1242230.1365,0.0418006430868167,0.0418006430868167,1,2,2,NA,"BRA","Land",0.370607144332358,0.198687499921237,0.755437503369259,-556.508379066002,TRUE,"0.754",0.051812975,4,24.0937870687599,5.6992726008217,0,0,14.0023508668822,2025,498.769615045548,484.80458419042,133.721422274464,23249.2371436967
"305",5138,-3467530.4452,-1042230.1365,0.0110471202280508,0.01029824059986,8,7.25,5,6.88165262543401,"BRA","Land",0.57240000218153,0.223050003126264,1.47359999269247,414.571063200169,TRUE,"0.754",0.051812975,4,24.4850040432674,5.24124052498186,0,0,18.6107004575854,1321,557.517951425554,538.883491728265,153.196409714889,1134.95512143611
"306",5139,-3467530.4452,-842230.1365,0.0237739668589869,0.027826109895065,5,4.2,4,2.48997991959775,"BRA","Land",0.805956521111986,0.352521738604359,1.88891304511091,297.032741492285,TRUE,"0.754",0.051812975,4,24.6910462933901,4.77487990998666,0,0,14.6658402691695,1413,460.564193377014,445.912874092438,131.023375243492,929.31326367983
"307",5140,-3467530.4452,-642230.1365,0.0467054028859975,0.0467054028859975,2,5.5,5.5,0.707106781186548,"BRA","Sea",0.395152318285198,0.226341059998862,0.760006621504659,-619.968997683857,TRUE,"0.754",0.051812975,4,24.8995658831288,4.46454428549529,0,0,9.85764023210832,1413,320.503288201161,310.56247582205,70.974081237911,3190.63675048356
"308",5289,-3067530.4452,-442230.1365,0.00215401184706516,0.00215401184706516,1,3,3,NA,"BRA","Sea",0.0936168422197041,0.0722715793785296,0.117732631673938,-4251.63791180508,TRUE,"0.754",0.051812975,4,25.7811397217415,5.24846297899882,0,NA,NA,NA,NA,NA,NA,NA
"309",5404,-2667530.4452,-7042230.1365,0.00166112956810631,0.00166112956810631,1,2,2,NA,"ATA","Sea",2.53320559338656,0.774893949236103,4.75745478065935,-2213.89838996705,FALSE,"NP",NA,7.88938265667627,-21.3508594675256,NA,0,NA,NA,NA,NA,NA,NA,NA
"310",6110,-867530.4452,957769.8635,0.0385874920303715,0.00308641975308642,3,3,3,0,"LBR","Land",NA,NA,NA,408.22516641065,TRUE,"0.427",0.162594639,4,25.764264780701,6.44125034312883,0,0,10.5503332164153,1932,626.147141353911,615.646264468607,125.402314977201,828.830059628201
